89.95 10.15 20.76 3.22 42.229 33.57 0
88.49 11.02 19.59 3.5 39.747 37.22 0
86.03 11.97 18 2.66 37.411 40.7 0
83.57 12.91 16.41 1.82 35.213 44.17 0
80.78 13.99 14.56 2.58 33.143 48.3 0
77.98 15.07 12.7 3.34 31.195 52.42 0
74.73 16.39 10.8 3.82 29.362 56.09 0
71.47 17.71 8.9 4.29 27.636 59.76 0
66.63 19.17 7.81 4.17 26.012 63.02 0.03
61.79 20.62 6.72 4.04 24.483 66.27 0.06
57.15 22.14 6.33 4.15 23.044 69.56 0.22
52.51 23.65 5.93 4.26 21.69 72.84 0.38
46.93 25.17 5.65 4.72 20.415 76.25 0.5
41.35 26.69 5.37 5.17 19.215 79.66 0.61
36.37 27.44 5.21 6.51 18.086 83.59 0.53
31.39 28.18 5.04 7.84 17.023 87.52 0.44
27.35 28.74 5.25 8.79 16.022 90.16 0.55
23.31 29.3 5.45 9.73 15.081 92.8 0.66
20.46 29.64 5.6 11.77 14.194 95.1 0.73
17.61 29.98 5.74 13.8 13.36 97.4 0.8
15.42 29.14 5.96 16.56 12.575 100.23 0.57
13.22 28.3 6.17 19.32 11.836 103.05 0.34
11.22 27.03 6.07 23.28 11.14 104.91 0.17
9.21 25.75 5.96 27.23 10.486 106.76 0
7.83 24.45 6.23 31.68 9.8693 108.85 0.02
6.44 23.15 6.49 36.12 9.2893 110.93 0.04
5.55 21.16 6.97 40.63 8.7433 112.24 0.11
4.66 19.17 7.44 45.14 8.2294 113.55 0.17
3.86 17.78 7.63 48.68 7.7458 113.21 0.13
3.06 16.39 7.82 52.21 7.2905 112.87 0.09
2.51 15.4 8.69 51.43 6.8621 114.61 0.09
1.96 14.4 9.56 50.64 6.4588 116.35 0.09
1.5 13.03 10.73 49.71 6.0792 114.28 0.14
1.03 11.65 11.9 48.77 5.7219 112.2 0.18
0.81 10.45 11.99 48.88 5.3856 113.28 0.41
0.59 9.24 12.07 48.99 5.0691 114.36 0.63
0.39 8.5 13.32 44.29 4.7712 114.18 0.8
0.18 7.75 14.57 39.59 4.4907 113.99 0.97
0.09 6.88 14.65 36.42 4.2268 112.46 1.52
0 6 14.72 33.25 3.9784 110.92 2.07
0 5.51 16.28 29.07 3.7446 110.52 2.97
0 5.02 17.84 24.88 3.5245 110.11 3.87
0 4.67 19.28 22.91 3.3174 110.65 4.42
0 4.31 20.72 20.94 3.1224 111.18 4.97
0 3.68 21.68 17.84 2.9389 109.1 7.17
0 3.05 22.64 14.73 2.7661 107.01 9.36
0 2.86 22.75 14.28 2.6036 108.86 13.11
0 2.67 22.86 13.83 2.4506 110.71 16.86
0 2.52 23.3 13.6 2.3065 109.51 22.63
0 2.36 23.73 13.37 2.171 108.31 28.39
0 2.35 24.63 14.19 2.0434 108.2 33.62
0 2.34 25.53 15 1.9233 108.08 38.84
0.31 2.52 25.38 15.69 1.8103 108.33 42.56
0.61 2.7 25.23 16.38 1.7039 108.58 46.28
0.9 2.94 25.37 15.76 1.6037 108.73 47.71
1.19 3.18 25.51 15.13 1.5095 108.87 49.13
1.48 3.12 25.48 14.51 1.4207 105.98 49.45
1.76 3.05 25.45 13.89 1.3372 103.08 49.76
152.9 11.32 56.33 1.55 42.229 35.85 0
149.97 13.6 49.38 1.07 39.747 39.2 0
146.61 15.8 42.19 0.8 37.411 41.85 0
142.19 18.87 35.83 1.36 35.213 46.11 0
138.82 22.8 27.67 1.26 33.143 51.62 0
134.15 27.96 21.81 1.35 31.195 55.53 0
127.34 32.7 15.42 1.43 29.362 58.35 0
118.42 39.14 11.17 1.53 27.636 63.95 0
109.48 45.88 8 1.32 26.012 68.26 0
98.8 53.68 5.3 1.48 24.483 73.46 0
87.62 61.21 3.54 1.51 23.044 76.18 0.26
75.57 66.82 2.65 1.65 21.69 80.21 0.57
64.3 73.39 1.82 1.92 20.415 84.89 1.17
52.25 79.49 1.08 2.6 19.215 88.99 1.32
41.41 85.14 0.55 3.47 18.086 96.27 1.46
32.83 90.91 0.56 3.36 17.023 98.82 0.74
25.77 93.51 0.15 4.59 16.022 101.43 1.29
19.28 93.98 0.1 6.3 15.081 106.38 1.19
15.15 96.79 0.1 9.27 14.194 112.05 1.84
11.44 96.39 0 11.13 13.36 113.69 2.74
8.77 95.44 0 15.94 12.575 116.97 0.91
6.65 93.07 0 21.39 11.836 123.14 1.09
5.01 88.21 0 28.85 11.14 124.05 0.47
3.9 82.4 0 36.5 10.486 126.46 0
2.95 74.97 0 44.72 9.8693 128.87 0
2.09 67.25 0 52.89 9.2893 132.33 0.17
1.46 58.49 0.13 61.11 8.7433 133.82 0
0.96 49.94 0.68 66.39 8.2294 136.64 0.76
0.67 41.39 1.37 73.02 7.7458 137.36 0
0.3 33.59 2.94 74.84 7.2905 138.88 0.42
0.21 26.7 4.21 75.68 6.8621 139.95 0.01
0 21.1 6.18 75.8 6.4588 140.27 0.41
0 17.01 8.64 75.38 6.0792 141.26 0
0 13.49 12.75 73.15 5.7219 143.66 0.46
0 11.21 16.53 67.84 5.3856 143.6 0.35
0 9.11 20.92 62.52 5.0691 144.21 2.03
0 7.72 26.85 56.67 4.7712 144 0.87
0 6.07 32 50.14 4.4907 142.43 0.94
0 4.9 37.98 42.52 4.2268 144.28 3.52
0 3.79 43.13 35.19 3.9784 144.16 4.34
0 3.38 48.35 29.06 3.7446 144.43 5.17
0 2.81 52.83 23.32 3.5245 141.74 7.49
0 2.39 56.96 18.39 3.3174 142.9 10.29
0 1.99 58.9 14.31 3.1224 138.42 9.72
0.2 1.86 60.82 12.17 2.9389 138.06 13.09
0.36 1.6 63.01 8.79 2.7661 140.37 18.13
1.11 0.83 62.05 7.59 2.6036 137.28 24.85
1.43 0.78 60.94 6.06 2.4506 134.98 32.3
1.91 0.79 58.77 5 2.3065 135.35 45.11
2.56 0.62 54.82 4.67 2.171 133.98 58.3
3.11 0.55 50.97 3.81 2.0434 135.26 72.05
3.72 0.56 47.36 3.41 1.9233 133.01 82.88
4.1 0.8 44.12 3.37 1.8103 133.68 95.47
4.49 0.61 40.96 3.33 1.7039 132.27 103.13
5.51 0.82 37.65 2.98 1.6037 130.38 109.41
5.76 0.93 33.96 3.3 1.5095 132.93 111.97
